Index,Distance,Stroke,Time,Date,City,Country,PoolLength,IsPartialDistance,Points
1,50,freestyle,28.78,2016-04-09,Skjetten,Norway,25,0,343
2,50,freestyle,28.84,2014-10-12,Sarpsborg,Norway,25,0,341
4,50,freestyle,30.17,2015-04-26,Drammen,Norway,50,0,332
5,50,freestyle,30.18,2016-04-09,Skjetten,Norway,25,1,298
6,50,freestyle,30.29,2015-05-31,Bergen,Norway,50,1,328
7,50,freestyle,30.51,2014-05-23,Bergen,Norway,25,0,288
8,50,freestyle,30.59,2015-10-10,Tøyen,Norway,50,1,319
9,50,freestyle,30.78,2014-03-15,Porsgrunn,Norway,25,0,280
10,50,freestyle,30.92,2014-06-14,Hamar,Norway,50,1,309
11,50,freestyle,30.99,2015-02-06,Fredrikstad,Norway,25,1,275
12,50,freestyle,31.07,2014-06-13,Hamar,Norway,50,0,304
13,50,freestyle,31.23,2015-12-05,Nadderud,Norway,25,1,269
14,50,freestyle,31.32,2014-11-01,Nordtvet,Norway,25,1,266
15,50,freestyle,31.34,2016-05-22,Tøyen,Norway,50,1,297
16,50,freestyle,31.37,2013-09-21,Skjetten,Norway,25,0,265
17,50,butterfly,31.5,2016-04-09,Skjetten,Norway,25,0,329
18,50,freestyle,31.51,2015-04-25,Drammen,Norway,50,1,292
19,50,freestyle,31.53,2014-10-11,Sarpsborg,Norway,25,1,261
20,50,freestyle,31.59,2015-01-17,Rælingen,Norway,25,1,259
20,50,butterfly,31.59,2016-01-10,Asker,Norway,25,1,326
22,50,freestyle,31.65,2014-06-15,Hamar,Norway,50,1,288
23,50,freestyle,31.73,2013-10-13,Sarpsborg,Norway,25,1,256
24,50,freestyle,31.74,2016-01-16,Rælingen,Norway,25,1,256
25,50,butterfly,31.76,2016-01-16,Rælingen,Norway,25,1,321
26,50,freestyle,31.82,2015-04-25,Drammen,Norway,50,1,283
27,50,freestyle,31.85,2013-11-02,Nordtvet,Norway,25,1,253
28,50,freestyle,31.86,2014-03-02,Kolbotn,Norway,25,1,253
29,50,butterfly,31.89,2016-01-10,Asker,Norway,25,1,317
30,50,freestyle,31.9,2014-03-15,Porsgrunn,Norway,25,1,252
31,50,freestyle,31.93,2014-03-16,Porsgrunn,Norway,25,1,251
31,50,freestyle,31.93,2015-05-30,Bergen,Norway,50,1,280
33,50,freestyle,32.13,2016-05-21,Tøyen,Norway,50,1,275
34,50,freestyle,32.16,2014-11-02,Nordtvet,Norway,25,1,246
35,50,freestyle,32.19,2014-03-02,Kolbotn,Norway,25,1,245
36,50,freestyle,32.2,2014-04-06,Slattum,Norway,25,1,245
37,50,freestyle,32.32,2014-05-03,Drammen,Norway,50,1,270
38,50,butterfly,32.33,2016-04-09,Skjetten,Norway,25,1,304
39,50,freestyle,32.34,2013-10-12,Sarpsborg,Norway,25,1,242
40,50,freestyle,32.35,2015-05-29,Bergen,Norway,50,1,270
41,50,butterfly,32.36,2015-12-05,Nadderud,Norway,25,1,303
42,50,freestyle,32.4,2013-10-27,Kolbotn,Norway,25,1,240
43,50,freestyle,32.41,2015-04-26,Drammen,Norway,50,1,268
44,50,freestyle,32.44,2014-01-10,Asker,Norway,25,1,240
45,50,freestyle,32.52,2014-02-07,Sognsvann,Norway,25,1,238
46,50,freestyle,32.54,2013-06-07,Kristiansand,Norway,50,0,265
47,50,freestyle,32.56,2014-05-25,Bergen,Norway,25,1,237
48,50,butterfly,32.6,2015-01-11,Asker,Norway,25,1,296
49,50,freestyle,32.63,2016-03-06,Kolbotn,Norway,25,1,235
50,50,freestyle,32.68,2013-04-28,Gothenburg,Sweden,50,0,261
51,50,freestyle,32.7,2014-06-14,Hamar,Norway,50,1,261
52,50,butterfly,32.82,2016-05-21,Tøyen,Norway,50,0,312
53,50,butterfly,32.94,2016-03-05,Kolbotn,Norway,25,1,287
54,50,freestyle,32.97,2013-12-15,Lambertseter,Norway,25,1,228
55,50,freestyle,33.01,2014-05-23,Bergen,Norway,25,1,227
56,50,freestyle,33.04,2013-10-12,Sarpsborg,Norway,25,1,227
